eta | Average | Median | Maximum | Fraction of functionally trained SGD's
('None', 1.0) | -220196.13553459998 | -0.02290254617312444 | 0.8656814970456769 | 0.05357142857142857
('None', 0.1) | -154208.0163918848 | -0.015634021099817465 | 0.900225296193905 | 0.07142857142857142
('None', 0.01) | -94490.31328007983 | -0.05849266448471129 | 0.7715830828015116 | 0.07142857142857142
('None', 0.001) | -6142.893814595485 | -0.5986356952289337 | 0.5688240922553808 | 0.07142857142857142
('None', 0.0001) | -93.93967406955636 | -1.6106516367434787 | 0.19003695471830023 | 0.07142857142857142
('None', 1e-05) | -18.187428281334043 | -1.7572590789014448 | -0.8532416324077027 | 0.07142857142857142
('None', 1e-06) | -18.69278879623688 | -1.812114267314632 | -1.2770444147625615 | 0.07142857142857142
(1.0, 1.0) | -49165.03696704231 | -0.7865312464849779 | 0.6331257594819228 | 0.0704985119047619
(1.0, 10.0) | -27848.801692997447 | -1.234940467832449 | 0.5757650006398656 | 0.07142857142857142
(1.0, 100.0) | -11354.234871344874 | -1.3825904406356693 | 0.45256430466316155 | 0.07142857142857142
(1.0, 1000.0) | -1879.1018956013916 | -1.4874475763663588 | 0.3554880078283494 | 0.07142857142857142
(1.0, 10000.0) | -74.11296931393183 | -1.6666136994753276 | 0.020034021094802654 | 0.07142857142857142
(1.0, 100000.0) | -18.26030896085539 | -1.7516382288557397 | -1.0436605778076742 | 0.07142857142857142
(1.0, 1000000.0) | -18.4820409121634 | -1.810437958160047 | -1.3118168150972147 | 0.07142857142857142

lmbd | Average | Median | Maximum | Fraction of functionally trained SGD's
0.1 | -36675.78805827903 | -1.6122101401764337 | 0.7341372705233433 | 0.16127232142857142
0.01 | -36993.46138284767 | -1.615838437305717 | 0.8448267869320283 | 0.1636904761904762
0.001 | -37112.04221066535 | -1.6215343317192228 | 0.8706414098904265 | 0.1636904761904762
0.0001 | -37505.87442499939 | -1.6141326083014464 | 0.900225296193905 | 0.1636904761904762
1e-05 | -37216.72168997142 | -1.6263573731901155 | 0.8840281108934686 | 0.1636904761904762
1e-06 | -37022.44048517907 | -1.614895797104661 | 0.8966542358494912 | 0.1636904761904762

lambda, eta | Average | Median | Maximum | Fraction of functionally trained SGD's
(0.1, ('None', 1.0)) | -219753.3054046934 | -0.028677449999239844 | 0.11954998697354983 | 0.008928571428571428
(0.1, ('None', 0.1)) | -154879.35577759016 | -0.02129895107420918 | 0.7341372705233433 | 0.011904761904761904
(0.1, ('None', 0.01)) | -93697.49840080115 | -0.05300025794758327 | 0.672609516546854 | 0.011904761904761904
(0.1, ('None', 0.001)) | -6057.167447533648 | -0.5571386675543827 | 0.5261412314987508 | 0.011904761904761904
(0.1, ('None', 0.0001)) | -95.08200814069016 | -1.5936779594591095 | 0.10959782907076954 | 0.011904761904761904
(0.1, ('None', 1e-05)) | -17.35849525828479 | -1.7704259916769285 | -0.8661057894965635 | 0.011904761904761904
(0.1, ('None', 1e-06)) | -18.814428007131283 | -1.7982436180773353 | -1.5536074204923467 | 0.011904761904761904
(0.1, (1.0, 1.0)) | -49619.95425256979 | -0.8111837394909102 | 0.5555368062489037 | 0.011904761904761904
(0.1, (1.0, 10.0)) | -27844.668071814503 | -1.0753512087455561 | 0.5198944758411338 | 0.011904761904761904
(0.1, (1.0, 100.0)) | -11309.383416787809 | -1.3022899458807784 | 0.4028140004595415 | 0.011904761904761904
(0.1, (1.0, 1000.0)) | -1800.4127738882337 | -1.4874475763663588 | 0.2696362315554663 | 0.011904761904761904
(0.1, (1.0, 10000.0)) | -71.3345281558301 | -1.6692696214774645 | 0.020034021094802654 | 0.011904761904761904
(0.1, (1.0, 100000.0)) | -18.36551242317184 | -1.7605811293993576 | -1.061822213922126 | 0.011904761904761904
(0.1, (1.0, 1000000.0)) | -19.449006746418906 | -1.8082592757147646 | -1.3988245568252222 | 0.011904761904761904
(0.01, ('None', 1.0)) | -218043.69406038127 | -0.026032063007223764 | 0.6714781178872017 | 0.008928571428571428
(0.01, ('None', 0.1)) | -154371.3892246547 | -0.014959621294626756 | 0.8448267869320283 | 0.011904761904761904
(0.01, ('None', 0.01)) | -94914.64064921941 | -0.06646879680472191 | 0.7715830828015116 | 0.011904761904761904
(0.01, ('None', 0.001)) | -6163.308392353404 | -0.5971998929032669 | 0.5688240922553808 | 0.011904761904761904
(0.01, ('None', 0.0001)) | -87.69555266097267 | -1.6105204082357603 | 0.12984722753840866 | 0.011904761904761904
(0.01, ('None', 1e-05)) | -18.009010718314613 | -1.755705019195115 | -1.0821924751465513 | 0.011904761904761904
(0.01, ('None', 1e-06)) | -17.230050863170916 | -1.8066326581135805 | -1.3918037746445726 | 0.011904761904761904
(0.01, (1.0, 1.0)) | -48504.53328333732 | -0.7936567976947552 | 0.5933160643798815 | 0.011904761904761904
(0.01, (1.0, 10.0)) | -27575.292863909093 | -1.1821074563539078 | 0.5757650006398656 | 0.011904761904761904
(0.01, (1.0, 100.0)) | -11460.768422003974 | -1.3825904406356693 | 0.4128664479203598 | 0.011904761904761904
(0.01, (1.0, 1000.0)) | -1903.681417681917 | -1.4698479470743788 | 0.3124392507174811 | 0.011904761904761904
(0.01, (1.0, 10000.0)) | -71.25089204091199 | -1.6393877362120002 | -0.012176567267041385 | 0.011904761904761904
(0.01, (1.0, 100000.0)) | -19.218820042786323 | -1.7548477461352598 | -1.0436605778076742 | 0.011904761904761904
(0.01, (1.0, 1000000.0)) | -20.30488938349374 | -1.8046339118296897 | -1.3813207045223488 | 0.011904761904761904
(0.001, ('None', 1.0)) | -221065.39895899163 | -0.024194108828174746 | 0.7785753362380419 | 0.008928571428571428
(0.001, ('None', 0.1)) | -154923.57433850504 | -0.016367562194999994 | 0.8706414098904265 | 0.011904761904761904
(0.001, ('None', 0.01)) | -93202.60536080612 | -0.05377517148315647 | 0.7681368799462958 | 0.011904761904761904
(0.001, ('None', 0.001)) | -6210.193213511621 | -0.5360828421788587 | 0.5189797857448502 | 0.011904761904761904
(0.001, ('None', 0.0001)) | -91.85752915639792 | -1.6191989737751928 | 0.1342198132320826 | 0.011904761904761904
(0.001, ('None', 1e-05)) | -18.201393235282083 | -1.759820623078615 | -1.182373012341133 | 0.011904761904761904
(0.001, ('None', 1e-06)) | -20.013554774530984 | -1.8098539320259486 | -1.4123464385844728 | 0.011904761904761904
(0.001, (1.0, 1.0)) | -48721.97385636347 | -0.7660533069112311 | 0.6331257594819228 | 0.011904761904761904
(0.001, (1.0, 10.0)) | -27862.414601699984 | -1.234940467832449 | 0.4528972759067882 | 0.011904761904761904
(0.001, (1.0, 100.0)) | -11450.951419205907 | -1.3516894890675488 | 0.4332771549172051 | 0.011904761904761904
(0.001, (1.0, 1000.0)) | -1879.5493772749578 | -1.4700855284913568 | 0.31841322674787215 | 0.011904761904761904
(0.001, (1.0, 10000.0)) | -73.5862278864838 | -1.658923281473701 | -0.04093796110651156 | 0.011904761904761904
(0.001, (1.0, 100000.0)) | -17.822873363119477 | -1.739040580500132 | -1.2144215245594918 | 0.011904761904761904
