hiddenLN : [1, 2, 4, 8]
hiddenNN : [8, 16, 32, 64]
epochN : [200, 400]
minibatchSize : [16, 32]
eta : [[1, 1.0], [1, 1.0], [10, 1.0], [10, 1.0], [None, 1.0], [None, 1.0], [1, 10.0], [1, 0.1], [10, 10.0], [10, 0.1], [None, 10.0], [None, 0.1], [1, 100.0], [1, 0.01], [10, 100.0], [10, 0.01], [None, 100.0], [None, 0.01], [1, 1000.0], [1, 0.001], [10, 1000.0], [10, 0.001], [None, 1000.0], [None, 0.001]]
lmbd : [0.1   0.001]
alpha : [0.1  0.01]
activationFunction : [<function sigmoid at 0x00000205B6F8B5E8>, <function ReLU_leaky at 0x00000205B86691F8>]
outputFunction : [<function linearActivation at 0x00000205B8669288>]
#repetitions : 1
datafraction : 0.1
-0.0014200881330272974---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.007968303781410002---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.3020526647380387---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-1.1928700770345566---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.00816015384951374---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.06163422327167112---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.04875585761101686---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-1.1396892667637473---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-0.014705741416858098---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.01631958379285192---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.1, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.10840104402121298---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.1, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-0.509519352938753---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.1, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.05700227840774841---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.001, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
0.18471255862476343---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.001, alpha:0.1, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
0.05172844935769816---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.001, alpha:0.01, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
-1.1561378405517693---epochN:200, minibatchSize:16, eta:[1, 1.0], lmbd:0.001, alpha:0.01, activFunct:ReLU_leaky, outFunc:linearActivation, layers:1, nodes:32
-2.0700462810180663e+42---epochN:200, minibatchSize:16, eta:[10, 1.0], lmbd:0.1, alpha:0.1, activFunct:sigmoid, outFunc:linearActivation, layers:1, nodes:32
